,TCGA.4T.AA8H.01,TCGA.4T.AA8H.01,TCGA.5M.AATA.01,TCGA.5M.AATA.01,TCGA.A6.2675.01,TCGA.A6.2675.01,TCGA.A6.2682.01,TCGA.A6.2682.01,TCGA.A6.5656.01,TCGA.A6.5656.01,TCGA.A6.5661.01,TCGA.A6.5661.01,TCGA.A6.5662.01,TCGA.A6.5662.01,TCGA.A6.5664.01,TCGA.A6.5664.01,TCGA.A6.5666.01,TCGA.A6.5666.01,TCGA.A6.5667.01,TCGA.A6.5667.01,TCGA.A6.6141.01,TCGA.A6.6141.01,TCGA.A6.6654.01,TCGA.A6.6654.01,TCGA.A6.6781.01,TCGA.A6.6781.01,TCGA.A6.6782.01,TCGA.A6.6782.01,TCGA.A6.A565.01,TCGA.A6.A565.01,TCGA.A6.A567.01,TCGA.A6.A567.01,TCGA.A6.A56B.01,TCGA.A6.A56B.01,TCGA.A6.A5ZU.01,TCGA.A6.A5ZU.01,TCGA.AA.3509.01,TCGA.AA.3509.01,TCGA.AA.A02Y.01,TCGA.AA.A02Y.01,TCGA.AD.6889.01,TCGA.AD.6889.01,TCGA.AD.6895.01,TCGA.AD.6895.01,TCGA.AD.6963.01,TCGA.AD.6963.01,TCGA.AD.6964.01,TCGA.AD.6964.01,TCGA.AD.A5EK.01,TCGA.AD.A5EK.01,TCGA.AM.5820.01,TCGA.AM.5820.01,TCGA.AM.5821.01,TCGA.AM.5821.01,TCGA.AU.3779.01,TCGA.AU.3779.01,TCGA.AY.A71X.01,TCGA.AY.A71X.01,TCGA.AZ.4616.01,TCGA.AZ.4616.01,TCGA.AZ.6599.01,TCGA.AZ.6599.01,TCGA.AZ.6603.01,TCGA.AZ.6603.01,TCGA.AZ.6606.01,TCGA.AZ.6606.01,TCGA.AZ.6608.01,TCGA.AZ.6608.01,TCGA.CA.5797.01,TCGA.CA.5797.01,TCGA.CA.6719.01,TCGA.CA.6719.01,TCGA.CK.4951.01,TCGA.CK.4951.01,TCGA.CK.4952.01,TCGA.CK.4952.01,TCGA.CK.5913.01,TCGA.CK.5913.01,TCGA.CK.5914.01,TCGA.CK.5914.01,TCGA.CK.5915.01,TCGA.CK.5915.01,TCGA.CK.5916.01,TCGA.CK.5916.01,TCGA.CK.6746.01,TCGA.CK.6746.01,TCGA.CM.4751.01,TCGA.CM.4751.01,TCGA.CM.5348.01,TCGA.CM.5348.01,TCGA.CM.5860.01,TCGA.CM.5860.01,TCGA.CM.5862.01,TCGA.CM.5862.01,TCGA.CM.5863.01,TCGA.CM.5863.01,TCGA.CM.5868.01,TCGA.CM.5868.01,TCGA.CM.6161.01,TCGA.CM.6161.01,TCGA.CM.6162.01,TCGA.CM.6162.01,TCGA.CM.6163.01,TCGA.CM.6163.01,TCGA.CM.6164.01,TCGA.CM.6164.01,TCGA.CM.6167.01,TCGA.CM.6167.01,TCGA.CM.6171.01,TCGA.CM.6171.01,TCGA.CM.6677.01,TCGA.CM.6677.01,TCGA.CM.6680.01,TCGA.CM.6680.01,TCGA.D5.5539.01,TCGA.D5.5539.01,TCGA.D5.5540.01,TCGA.D5.5540.01,TCGA.D5.5541.01,TCGA.D5.5541.01,TCGA.D5.6530.01,TCGA.D5.6530.01,TCGA.D5.6533.01,TCGA.D5.6533.01,TCGA.D5.6534.01,TCGA.D5.6534.01,TCGA.D5.6898.01,TCGA.D5.6898.01,TCGA.D5.6920.01,TCGA.D5.6920.01,TCGA.D5.6928.01,TCGA.D5.6928.01,TCGA.DM.A0XF.01,TCGA.DM.A0XF.01,TCGA.DM.A1D0.01,TCGA.DM.A1D0.01,TCGA.DM.A1D8.01,TCGA.DM.A1D8.01,TCGA.DM.A1DB.01,TCGA.DM.A1DB.01,TCGA.DM.A1HB.01,TCGA.DM.A1HB.01,TCGA.DM.A280.01,TCGA.DM.A280.01,TCGA.DM.A288.01,TCGA.DM.A288.01,TCGA.DM.A28A.01,TCGA.DM.A28A.01,TCGA.DM.A28E.01,TCGA.DM.A28E.01,TCGA.DM.A28K.01,TCGA.DM.A28K.01,TCGA.DM.A28M.01,TCGA.DM.A28M.01,TCGA.F4.6459.01,TCGA.F4.6459.01,TCGA.F4.6460.01,TCGA.F4.6460.01,TCGA.F4.6463.01,TCGA.F4.6463.01,TCGA.F4.6569.01,TCGA.F4.6569.01,TCGA.F4.6808.01,TCGA.F4.6808.01,TCGA.F4.6854.01,TCGA.F4.6854.01,TCGA.F4.6855.01,TCGA.F4.6855.01,TCGA.F4.6856.01,TCGA.F4.6856.01,TCGA.G4.6293.01,TCGA.G4.6293.01,TCGA.G4.6295.01,TCGA.G4.6295.01,TCGA.G4.6298.01,TCGA.G4.6298.01,TCGA.G4.6299.01,TCGA.G4.6299.01,TCGA.G4.6302.01,TCGA.G4.6302.01,TCGA.G4.6303.01,TCGA.G4.6303.01,TCGA.G4.6304.01,TCGA.G4.6304.01,TCGA.G4.6307.01,TCGA.G4.6307.01,TCGA.G4.6315.01,TCGA.G4.6315.01,TCGA.G4.6322.01,TCGA.G4.6322.01,TCGA.G4.6586.01,TCGA.G4.6586.01,TCGA.NH.A50V.01,TCGA.NH.A50V.01,TCGA.NH.A6GB.01,TCGA.NH.A6GB.01,TCGA.NH.A6GC.01,TCGA.NH.A6GC.01,TCGA.QG.A5YV.01,TCGA.QG.A5YV.01
Gene,N_score,T_score,N_score,T_score,N_score,T_score,N_score,T_score,N_score,T_score,N_score,T_score,N_score,T_score,N_score,T_score,N_score,T_score,N_score,T_score,N_score,T_score,N_score,T_score,N_score,T_score,N_score,T_score,N_score,T_score,N_score,T_score,N_score,T_score,N_score,T_score,N_score,T_score,N_score,T_score,N_score,T_score,N_score,T_score,N_score,T_score,N_score,T_score,N_score,T_score,N_score,T_score,N_score,T_score,N_score,T_score,N_score,T_score,N_score,T_score,N_score,T_score,N_score,T_score,N_score,T_score,N_score,T_score,N_score,T_score,N_score,T_score,N_score,T_score,N_score,T_score,N_score,T_score,N_score,T_score,N_score,T_score,N_score,T_score,N_score,T_score,N_score,T_score,N_score,T_score,N_score,T_score,N_score,T_score,N_score,T_score,N_score,T_score,N_score,T_score,N_score,T_score,N_score,T_score,N_score,T_score,N_score,T_score,N_score,T_score,N_score,T_score,N_score,T_score,N_score,T_score,N_score,T_score,N_score,T_score,N_score,T_score,N_score,T_score,N_score,T_score,N_score,T_score,N_score,T_score,N_score,T_score,N_score,T_score,N_score,T_score,N_score,T_score,N_score,T_score,N_score,T_score,N_score,T_score,N_score,T_score,N_score,T_score,N_score,T_score,N_score,T_score,N_score,T_score,N_score,T_score,N_score,T_score,N_score,T_score,N_score,T_score,N_score,T_score,N_score,T_score,N_score,T_score,N_score,T_score,N_score,T_score,N_score,T_score,N_score,T_score,N_score,T_score,N_score,T_score,N_score,T_score,N_score,T_score,N_score,T_score,N_score,T_score,N_score,T_score,N_score,T_score,N_score,T_score,N_score,T_score,N_score,T_score,N_score,T_score
FOLR1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.095114237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.008720254,0,0,0,0,0,0,1,0.001538772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.103641205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.608127273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TNFRSF8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERBB2,1,0,0,0,1,0.021092924,0,0,0,0,0,0,1,0.0161618,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.019366452,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.054199182,0,0,0,0,1,0.002880136,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0.028280193,0,0,0,0,0,0,0,0,0,0,0,0,1,0.547425782,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.001206607,1,0,1,0.025629742,0,0,0,0,0,0,0,0,0,0,1,0.140210287,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PVRL4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TACSTD2,1,0.18231815,0,0,0,0,0,0,0,0,0,0,1,0.040952907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.124697464,1,0.379787551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.550924541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00805883,1,0.376411903,1,0.182900714,0,0,0,0,0,0,0,0,1,0.107352415,0,0,0,0,0,0,1,0.186148375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.231242956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.035268521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.262451211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.054667279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ERBB3,0,0,0,0,1,0.31616809,0,0,0,0,0,0,1,0.960315174,1,0.266728701,1,0.224828064,1,0.442034507,0,0,1,0.151105399,0,0,0,0,0,0,1,0.346272032,1,0.581813803,0,0,0,0,0,0,0,0,0,0,0,0,1,0.057253375,1,0.412735127,1,0.139201482,0,0,1,0.142403991,0,0,0,0,1,0.013568354,1,0.503388144,1,0.029828789,1,0.096187229,1,0.745289957,1,0.438933585,0,0,1,0.713099181,1,0.159631195,0,0,1,0.745804058,0,0,1,0.403513744,0,0,1,0.254368887,0,0,0,0,1,0.409033922,1,0.03434527,1,0.149048194,0,0,0,0,1,0.388724085,0,0,1,0.889797984,0,0,1,0.247131766,0,0,0,0,1,0.643944238,1,0.509154592,0,0,0,0,1,0.265147226,0,0,1,0.708487572,0,0,0,0,0,0,1,0.771206544,0,0,0,0,1,0.465617124,1,0.11350169,1,0.376760681,0,0,1,0.030514251,1,0.089382265,0,0,1,0.213930419,0,0,0,0,1,0.313895522,1,0.25557099,1,0.148731901,0,0,1,0.14211196,0,0,1,0.794306803,0,0,1,0.879311849,0,0,1,0.466915893,1,0.114099591,0,0,0,0,1,0.127606562,1,0.082459828,0,0,0,0
CLDN18,0,0,0,0,0,0,1,0.004151606,0,0,1,0.206211592,0,0,0,0,0,0,0,0,1,0.209072618,0,0,0,0,1,0.041965306,1,0.398993227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.146618177,0,0,0,0,0,0,0,0,0,0,0,0,1,0.451468172,1,0.592004848,1,0.458118703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.010473147,0,0,0,0,1,0.62223179,0,0,0,0,0,0,1,0.90338902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.490786533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.265330681,0,0,0,0,0,0,1,0.804288216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DLL3,0,0,1,0.011926191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.643729651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.010305671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.369953505,0,0,1,0.254538982,0,0,0,0,0,0,0,0,1,0.241218237,0,0,1,0.008050763,0,0,1,0.765599643,0,0,0,0,1,0.037454987,0,0,0,0,0,0,0,0,0,0,0,0,1,0.501494491,0,0,1,0.114489055,0,0,1,0.418017232,0,0,1,0.516644275,0,0,0,0,1,0.052596279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.112680841,0,0,1,0.072020372,0,0,1,0.057846044,0,0,1,0.56995413,0,0,0,0,0,0
